,0
BXP.3,0
C.3,0
CAG.3,0
CAH.3,0
CARR.3,0
CAT.3,0
CB.3,0
CBOE.3,0
CBRE.3,0
CCI.3,0
CCL.3,0
CDAY.3,0
CDNS.3,0
CDW.3,0
CE.3,0
CEG.3,0
CF.3,0
CFG.3,0
CHD.3,0
CHRW.3,0
CHTR.3,0
CI.3,0
CINF.3,0
CL.3,0
CLX.3,3
CMA.3,0
CMCSA.3,0
CME.3,0
CMG.3,0
CMI.3,0
CMS.3,2
CNC.3,0
CNP.3,2
COF.3,0
COO.3,0
COP.3,0
COR.3,0
COST.3,0
CPB.3,0
CPRT.3,0
CPT.3,0
CRL.3,0
CRM.3,0
CSCO.3,0
CSGP.3,0
CSX.3,0
CTAS.3,0
CTLT.3,0
CTRA.3,0
CTSH.3,0
CTVA.3,0
CVS.3,0
CVX.3,1
CZR.3,0
D.3,0
DAL.3,0
DD.3,0
DE.3,0
DFS.3,0
DG.3,0
DGX.3,0
DHI.3,0
DHR.3,0
DIS.3,0
DLR.3,0
DLTR.3,0
DOV.3,0
DOW.3,0
DPZ.3,0
DRI.3,0
DTE.3,1
DUK.3,0
DVA.3,0
DVN.3,0
DXCM.3,1
EA.3,0
EBAY.3,1
ECL.3,0
ED.3,1
EFX.3,0
EG.3,0
EIX.3,2
EL.3,0
ELV.3,0
EMN.3,0
EMR.3,0
ENPH.3,0
EOG.3,0
EPAM.3,0
EQIX.3,0
EQR.3,0
EQT.3,0
ES.3,0
ESS.3,0
ETN.3,0
ETR.3,0
ETSY.3,0
EVRG.3,2
EW.3,0
EXC.3,3
EXPD.3,0
EXPE.3,0
EXR.3,0
F.3,0
FANG.3,0
FAST.3,0
FCX.3,0
FDS.3,0
FDX.3,0
FE.3,0
FFIV.3,0
FI.3,0
FICO.3,0
FIS.3,0
FITB.3,0
FLT.3,0
FMC.3,0
FOX.3,0
FOXA.3,0
FRT.3,0
FSLR.3,0
FTNT.3,0
FTV.3,0
GD.3,0
GE.3,0
GEHC.3,0
GEN.3,0
GILD.3,0
GIS.3,0
GL.3,0
GLW.3,0
GM.3,0
GNRC.3,0
GOOG.3,0
GOOGL.3,0
GPC.3,0
GPN.3,0
GRMN.3,0
GS.3,0
GWW.3,0
HAL.3,0
HAS.3,0
HBAN.3,0
HCA.3,0
HD.3,0
HES.3,0
HIG.3,0
HII.3,0
HLT.3,0
HOLX.3,0
HON.3,0
HPE.3,0
HPQ.3,0
HRL.3,2
HSIC.3,0
HST.3,0
HSY.3,0
HUM.3,0
HWM.3,0
IBM.3,0
ICE.3,0
IDXX.3,0
IEX.3,0
IFF.3,0
ILMN.3,0
INCY.3,0
INTC.3,0
INTU.3,0
INVH.3,0
IP.3,0
IPG.3,0
IQV.3,0
IR.3,0
IRM.3,0
ISRG.3,0
IT.3,0
ITW.3,0
IVZ.3,0
J.3,0
JBHT.3,0
JCI.3,0
JKHY.3,0
JNJ.3,0
JNPR.3,0
JPM.3,0
K.3,5
KDP.3,2
KEY.3,0
KEYS.3,0
KHC.3,0
KIM.3,0
KLAC.3,0
KMB.3,0
KMI.3,0
KMX.3,0
KO.3,6
KR.3,0
KVUE.3,0
L.3,0
LDOS.3,0
LEN.3,0
LH.3,0
LHX.3,0
LIN.3,0
LKQ.3,0
LLY.3,0
LMT.3,0
LNT.3,2
LOW.3,0
LRCX.3,0
LUV.3,0
LVS.3,0
LW.3,0
LYB.3,0
LYV.3,0
MA.3,0
MAA.3,0
MAR.3,0
MAS.3,0
MCD.3,0
MCHP.3,0
MCK.3,0
MCO.3,0
MDLZ.3,0
MDT.3,0
MET.3,0
META.3,0
MGM.3,0
MHK.3,0
MKC.3,0
MKTX.3,0
MLM.3,0
MMC.3,0
MMM.3,2
MNST.3,0
MO.3,0
MOH.3,0
MOS.3,0
MPC.3,0
MPWR.3,0
MRK.3,0
MRNA.3,0
MRO.3,0
MS.3,0
MSCI.3,0
MSFT.3,0
MSI.3,0
MTB.3,0
MTCH.3,0
MTD.3,0
MU.3,0
NCLH.3,0
NDAQ.3,0
NDSN.3,0
NEE.3,7
NEM.3,0
NFLX.3,0
NI.3,5
NKE.3,0
NOC.3,2
NOW.3,0
NRG.3,0
NSC.3,0
NTAP.3,0
NTRS.3,0
NUE.3,0
NVDA.3,0
NVR.3,0
NWS.3,0
NWSA.3,0
NXPI.3,0
O.3,0
ODFL.3,0
OGN.3,0
OKE.3,0
OMC.3,0
